Native Threads,9160,1402,205,5476,1646,371,5000,20000,10,16
Native Threads,5415,946,236,2319,1430,414,5000,20000,10,32
Native Threads,179421,6891,238,102277,1580,68377,5000,20000,10,32
Native Threads,29927,985,26,21896,287,6710,5000,2000,10,32
Native Threads,504837,11625,35,492029,331,797,5000,2000,10,1
Native Threads,41088,1266,28,34657,272,4841,5000,2000,10,16
Native Threads,28311,810,30,19671,241,7538,5000,2000,10,64
Native Threads,30737,841,22,23797,296,5758,5000,2000,10,32
Native Threads,39323,1101,20,31062,255,6865,5000,2000,10,20
Native Threads,9849,1026,23,209,237,8327,5000,2000,10,20
Native Threads,13933,10501,24,2311,243,834,5000,2000,10,1
Native Threads,8309,1577,23,363,206,6120,5000,2000,10,8
Native Threads,475382,8429,22,465776,282,855,5000,2000,10,1
Native Threads,29846,916,19,22378,253,6258,5000,2000,10,32
Native Threads,497963,7893,23,488871,269,883,5000,2000,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,11762,0,0,11761,0,0,10,20,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,1644,699,50,573,49,247,1000,2000,10,1
Sequential,1659,661,50,610,48,265,1000,2000,10,1
Native Threads,1555,649,64,500,72,250,1000,2000,10,1
Sequential,1793,788,56,622,55,247,1000,2000,10,1
Sequential,29279,21592,80,5009,389,2180,10000,2000,10,1
Native Threads,35183,27061,62,4737,450,2851,10000,2000,10,1
Sequential,30222,22243,90,5285,391,2186,10000,2000,10,1
Native Threads,5881,4392,60,780,441,185,10000,2000,10,16
Native Threads,5467,3994,61,692,468,229,10000,2000,10,16
Native Threads,30,0,0,9,0,7,100,200,10,1
Native Threads,178,78,0,54,0,25,1000,200,10,1
Native Threads,198,92,0,57,1,25,1000,200,10,1
FastFlow,288,133,0,81,3,49,1000,200,10,1
Native Threads,172,69,0,54,0,25,1000,200,10,1
Native Threads,192,85,0,58,0,25,1000,200,10,1
Native Threads,183,77,0,56,2,26,1000,200,10,1
Sequential,2610,1865,0,478,33,216,10000,200,10,1
Sequential,2989,2235,0,485,33,215,10000,200,10,1
Native Threads,4360,3521,1,556,47,214,10000,200,10,1
FastFlow,4540,3725,4,527,52,211,10000,200,10,1
Sequential,9623,2037,0,7322,34,215,10000,200,10,1
Sequential,4,0,0,0,0,0,10,20,10,1
Sequential,1,0,0,0,0,0,10,20,10,1
Sequential,1817,777,49,643,56,264,1000,2000,10,1
Sequential,1740,789,49,564,46,268,1000,2000,10,1
Native Threads,1732,750,56,586,66,253,1000,2000,10,1
FastFlow,2193,1077,48,753,62,229,1000,2000,10,1
FastFlow,1059,545,48,294,59,91,1000,2000,10,10
Native Threads,443,192,49,100,52,26,1000,2000,10,10
